id,name,right_node,left_node,level
6,Oyster,6,5,5
7,Jetem,8,7,5
8,Rich Family,10,9,5
9,Dearest,12,11,5
10,Shenma Balu,14,13,5
11,Babalo,16,15,5
12,Carrello,18,17,5
13,YOYA,20,19,5
14,Rant,22,21,5
15,Valco baby,24,23,5
16,Zlatek,26,25,5
17,Sweet Baby,28,27,5
18,Happy Baby,30,29,5
19,TOMIX,32,31,5
20,Pituso,34,33,5
21,Infinity,36,35,5
22,Farfello,38,37,5
23,BABY TILLY,40,39,5
5,Коляски прогулочные,41,4,4
25,Belecco,44,43,5
24,Коляски 2 в 1,45,42,4
27,Dearest,48,47,5
26,Коляски универсальные,49,46,4
29,Babalo,52,51,5
28,Коляски-трансформеры,53,50,4
4,Коляски,54,3,3
31,Skyway,57,56,4
33,Happy Baby,60,59,5
34,Infinity,62,61,5
35,Крошка Я,64,63,5
36,KariKids,66,65,5
37,Babycare,68,67,5
38,Rant,70,69,5
39,Siger,72,71,5
40,Zlatek,74,73,5
32,Бустеры,75,58,4
42,Babycare,78,77,5
41,Группа 0-1 (0-18 кг),79,76,4
44,Siger,82,81,5
45,BRITAX ROEMER,84,83,5
46,Rant,86,85,5
43,Группа 2-3 (15-36 кг),87,80,4
48,Babycare,90,89,5
49,Rant,92,91,5
50,Amarobaby,94,93,5
47,Группа 0-1-2-3 (0-36 кг),95,88,4
52,Teddy Bear,98,97,5
53,Farfello,100,99,5
54,Britax,102,101,5
55,Zlatek,104,103,5
51,Группа 1-2-3 (9-36 кг),105,96,4
57,Siger,108,107,5
58,BabyHit,110,109,5
56,Группа 0-1-2 (0-25 кг),111,106,4
60,BRITAX ROEMER,114,113,5
59,Группа 1 (9-18 кг),115,112,4
30,Автокресла,116,55,3
62,BamBola,119,118,4
63,Valco baby,121,120,4
64,EGG,123,122,4
65,Stokke,125,124,4
66,Babyzen,127,126,4
67,Pikate,129,128,4
68,Bumbleride,131,130,4
69,Cybex,133,132,4
70,UPPAbaby,135,134,4
71,Карапуз,137,136,4
72,Tutis,139,138,4
73,Peg-Perego,141,140,4
74,Chicco,143,142,4
75,Jedo,145,144,4
61,Люльки и прогулочные блоки,146,117,3
78,Pikate,150,149,5
79,Бим-Бом,152,151,5
